project_key,bid_no,bid_contract_type,bid_title,construction_bid_cost_relevant,source_file,extension,bytes,sha256,duplicate_scan_reused,boq_filename_candidate,blank_or_unpriced_filename,scan_error,table_count,quantity_rows_max,priced_rows_max,strong_priced_table,best_sheet,best_sheet_state,best_header_row,best_priced_ratio,table_signals_json
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,"L2023-00028-1/1. 입찰계획안(국, 영문).zip",.zip,5172957,32ce2f03faf963871ff190dd99f8e2c66f6ffc97e60332ee1bec661e6ea9df0c,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,L2023-00028-1/2. 입찰서류(영문).zip,.zip,8251178,9c25451a86a97756e511864c0b1b30490c969ec2a5633b043d4b124392a42682,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,"L2023-00028-1/1. 입찰계획안(국, 영문)/1-1. Bidding Guideline_KOR_230622.docx",.docx,2588298,9f48e000d2730d4f3c41e71999c46f46c46d2e385e3f2b39a9120767a8b472e4,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,"L2023-00028-1/1. 입찰계획안(국, 영문)/1-2. Bidding Guideline_ENG_230622.docx",.docx,2591895,1b8282613f01cecf289c3275f3c81ab21ce1a39e44038d77b6ebeec4b400afef,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,L2023-00028-1/2. 입찰서류(영문)/2. Bidding for the Provision of Services.docx,.docx,35313,7211988f637958395d3bed6425f05f5120c1a81d5c2ae8f61d092d40e565a87c,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,L2023-00028-1/2. 입찰서류(영문)/5. Standard Forms of Contract.docx,.docx,47998,48229709a5667916a96e11d5aeb5dfd98f9b277c7dad4aed5be53e536691a339,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,L2023-00028-1/2. 입찰서류(영문)/1. Bidding Guideline_ENG_230622.docx,.docx,2591895,1b8282613f01cecf289c3275f3c81ab21ce1a39e44038d77b6ebeec4b400afef,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,L2023-00028-1/2. 입찰서류(영문)/4. Terms of Reference with CM forms.zip,.zip,5546052,53f7507b746fdb98b4f73c4fae8c7d0751e64a1799f0acf5db486ab80db4ce39,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,L2023-00028-1/2. 입찰서류(영문)/3. Bidding Forms.docx,.docx,44331,f1b30ad3cd00feef20f3dff428209ef12caae6aaf5cad4466c427a5bd4fb0ae2,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,L2023-00028-1/2. 입찰서류(영문)/4. Terms of Reference with CM forms/4-1. Farm Renovation Concept Paper.docx,.docx,4592259,88f470284dd019d342e6a5e75c1f1e3c0ab492b01366ff1ac15f788cb07def6e,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,L2023-00028-1/2. 입찰서류(영문)/4. Terms of Reference with CM forms/4-2. Construction Supervision Forms.docx,.docx,20958,a415084284d83fd88ab7c1fa68012676779bb397fd627a8c108f911cb5f07171,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2023-00028-1,용역,우간다 농업지도자연수원 자립적 운영체계 구축 및 연수역량강화 사업을 위한 설계 및 감리 용역,0,L2023-00028-1/2. 입찰서류(영문)/4. Terms of Reference with CM forms/4. Terms of Reference.docx,.docx,982264,29e486c50786acb513842231d04c74aa7a5bb10ad5b092f41121501a3118eb67,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 3(계약서 및 기타 자료).zip,.zip,381939,8abea021b88bbab3ca5540b2a035beb9492124242530b4f5f374566576c29ee7,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/입찰계획안(영문)_240912.docx,.docx,70374,a97e2204cd7abdc401433f2445b64647f5c6108b87aaf1a9d1efe9231c168ebd,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 1(입찰절차).zip,.zip,242902,ab0bb5cfa61d3823937ee433e7da3dc95a1ac561e8de646fca273b38f38edecf,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/우간다 조달청 규정.zip,.zip,1317450,c875dab804788f7174e78c9b9937ea12295c2bb46df7d0b05a7dd7a5e1183bf5,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/입찰계획안(국문)_240912.hwp,.hwp,187904,b19aa88fe4464d99312e9db53573bbd51233894da44a85c364311557746fdd31,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 3(계약서 및 기타 자료)/Section 8. Special Conditions of Contract.docx,.docx,62776,829d949ab71fb28a85d4e3b3bdcfb06406eeb50e9e955b0f69d58a2b7e83bfbf,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 3(계약서 및 기타 자료)/Section 10 - Pledges.zip,.zip,84955,fadf4a1951ee2c6ace4fe84d3f55ddfcdcbd11bf4a7f15430823b028717b4acb,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 3(계약서 및 기타 자료)/Section 7. General Conditions of Contract.docx,.docx,208511,a03e5b05dd156f7994b2d52b4702d73cb04d2ed870e20e9cc5f810c30db67640,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 3(계약서 및 기타 자료)/Section 9. Contract Forms.docx,.docx,38064,60c9caead2ab9055df0848415947e8cea9b8f46eaa6e4664aabd73eb0b29bb92,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/우간다 조달청 규정/(PPDA ╞»╟²╕╢┴° ░ⁿ╖├▒╘┴ñ) PPDA-Act-2003 (Ammended 2021).pdf,.pdf,515969,0502cec8c28f3d4f5b09170b613064a67998e6ab586a188452f93ff4b35b0276,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/우간다 조달청 규정/(PPDA ║╕┴⌡▒╘┴ñ) GUIDELINE-3-OF-2024-ON-BID-AND-PERFORMANCE-SECURITIES.pdf,.pdf,1041182,b17737d66ac952e950635c033ff1b2fa38e8abbfa8713539040b143590623f90,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 1(입찰절차)/Part 1(└╘┬√└²┬≈)/Section 3. Bidding Forms.docx,.docx,49964,48deb32691d2a945fabbf91be60d92b0d065b2b207b3771073d826ac60f03a4c,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 1(입찰절차)/Part 1(└╘┬√└²┬≈)/Section 2 - Bid Data Sheet (┐╡╣«).docx,.docx,70374,a97e2204cd7abdc401433f2445b64647f5c6108b87aaf1a9d1efe9231c168ebd,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 1(입찰절차)/Part 1(└╘┬√└²┬≈)/Section 1 - Instructions to Bidders (ITB).pdf,.pdf,146068,32c98bec63f31ee752b16d8cf77164796681a660a981c00cac3039872cd469e9,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 3(계약서 및 기타 자료)/Section 10 - Pledges/Integrity Pledge (청렴계약서).docx,.docx,36507,bbf88b1bc23c5ed931639e65f36d47df7d7fbdb8447562024b0cf9f04ec6d6b6,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 3(계약서 및 기타 자료)/Section 10 - Pledges/Fair Contract Pledge Letter (공정계약 서약서).docx,.docx,18756,379cc784a159e5c15ba0045a32dd793d03827ad46a1e4a966b9810ad99102277,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 3(계약서 및 기타 자료)/Section 10 - Pledges/Declaration of Anti_Corruption (반부패 선언서).docx,.docx,23026,81e22a438491f4d1b5a12be15e95b5278073d1be929b00b0cd4fe23da8b9d496,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2024-00050-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 공사,1,L2024-00050-1/Part 3(계약서 및 기타 자료)/Section 10 - Pledges/Power of Attorney (계약서 서명권한 위임장).docx,.docx,18770,3a0f38f9872dddf73d2b65acc72f2d66feba6b342e663e59135e5ef6b1c4e906,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외).zip,.zip,1753840,e8d1ab37c163c39452b7f8f0e635ebcb91add725e80ad29321b893308a149605,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 3. 우간다 조달청(PPDA) 관련 규정.zip,.zip,1316818,9de3946bb7383887bb63f05b38e5988946a88d31a543e6db0d4ac14f5f5d6517,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/1-2. 입찰공고문(영문)_시범농장 신축.docx,.docx,72366,0d6293c9b5890b5582f91fddf1faadcada39464d9029d50857d42d41d37081fb,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 3. 우간다 조달청(PPDA) 관련 규정/3-2. (PPDA 특혜마진 관련규정) PPDA-Act-2003 (Ammended 2021).pdf,.pdf,515969,0502cec8c28f3d4f5b09170b613064a67998e6ab586a188452f93ff4b35b0276,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 3. 우간다 조달청(PPDA) 관련 규정/3-1. (PPDA 보증규정) GUIDELINE-3-OF-2024-ON-BID-AND-PERFORMANCE-SECURITIES.pdf,.pdf,1041182,b17737d66ac952e950635c033ff1b2fa38e8abbfa8713539040b143590623f90,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 9 - Contract Forms.docx,.docx,38159,0bce2d1fb64d0b2bf7c95f60fe85f7f4c07bcf3ac8c4cb65912db9515bbb5644,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 7 - General Conditions of Contract.docx,.docx,202912,fedf6aa3540ddde964e764325f1b28aff95914fe896d9a93b0b504953aef920a,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 2 - Bid Data Sheet (New Farm).docx,.docx,72111,0de1a173a7f9c9414a11fc06a71dfafba7c0dfc57759dc6474e3aa84d742f2af,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Power of Attorney for the authority to sign and execute contracts (계약서 서명권한 위임장).docx,.docx,18759,ccfa30711d9124ace57f312b9b89267731c2844285ca78c55df13f43969cd647,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 8 - Specail Conditions of Contract.docx,.docx,60774,71f76a3e205a83768b2992bb6e9065dc516b4f8076b24418a316d4195274d0e8,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 9 - Pledges.zip,.zip,69143,c68e53944a8f0afc1892995c1597fc45de6bfe319f29975a6981e05379561cfa,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 3 - Bidding Forms.docx,.docx,43979,bcc509bdb5ac87ff686277c070f9fba2c93d4042aef9ad7f9d2e65363cde67b0,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 6 - Scope of Works.docx,.docx,1142778,b4e8a80d4c338babb9e6f22aa6dbe09011bbf7ffbe5028a9741eacbae29084ad,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 1 - Instructions to Bidders (ITB).pdf,.pdf,146068,32c98bec63f31ee752b16d8cf77164796681a660a981c00cac3039872cd469e9,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 9 - Pledges/Integrity Pledge (청렴계약서).docx,.docx,36507,bbf88b1bc23c5ed931639e65f36d47df7d7fbdb8447562024b0cf9f04ec6d6b6,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 9 - Pledges/Fair Contract Pledge Letter (공정계약 서약서).docx,.docx,18756,379cc784a159e5c15ba0045a32dd793d03827ad46a1e4a966b9810ad99102277,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00042,L2025-00062-1,공사,우간다 농업지도자 연수원 자립적 운영체계구축 및 연수역량 강화사업 시범농장 신축 공사,1,L2025-00062-1/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/붙임 2. 입찰 첨부서류 각 1부(Part II 제외)/Section 9 - Pledges/Declaration of Anti_Corruption (반부패 선언서).docx,.docx,23026,81e22a438491f4d1b5a12be15e95b5278073d1be929b00b0cd4fe23da8b9d496,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/1. 국영문 입찰계획안 우간다 마케레레.zip,.zip,107072,e3ab143d8086da49afcbaa087315f20640492df3104d4b6a03d4829765dfeb8a,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레.zip,.zip,1149146,43587fcba3bb7dae37257cce10618e40edf4ac3adac5f0e8a0d2aab18d2c5c20,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 7 - Specail Conditions of Contract.docx,.docx,25735,951c2d255ef262165cfff144d7c962a3895e873a1af01869b7956aaa014fa39f,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 5 - Reference Documents.zip,.zip,18929,8ce9252a55149ad57dfc61b54ab0db802badc6669fb066c8dfe7a1b086d19b72,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 6 - General Conditions of Contract.docx,.docx,34911,83d7fcabe51ad328fb7329da081d4f921110e5e42367cc1598173d635bbc979e,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 3 - Bidding Forms_수정.docx,.docx,60170,af78166fc8656f60cd1420e578f70d322290bda457113e999ae837aeba7cfff6,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Summary of Bidding (요약본)_수정.docx,.docx,34891,9d45c01785412775bfa0b24a0ce7950fe858f0efc0348d7c0950951f9d9b711f,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 9 - Pledges.zip,.zip,69143,c68e53944a8f0afc1892995c1597fc45de6bfe319f29975a6981e05379561cfa,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 8 - Contract Forms.docx,.docx,22992,aae21e0364d411b003ec863f9587fb5bd419cae961c5c76762dcf0190ad3ff86,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 4 - Request for Proposal.docx,.docx,699094,9902acab97d76a384f80dbe4e8d28d7e672f06ea4b176c657b379bb44ccd9d41,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 1 - Instructions to Bidders (ITB)_수정.zip,.zip,216319,11233da5e359ce592212699f6c499fb76b51eb57314e320bc488eddaa0c5dfe9,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/1. 국영문 입찰계획안 우간다 마케레레/Section 2 - (국문) 입찰공고문 (BDS)_20240930 최종.hwp,.hwp,69120,ca5994c55657418c458832d14a2f6634b806b71a5762759202dbb40cb38e4147,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/1. 국영문 입찰계획안 우간다 마케레레/Section 2 - Bid Data Sheet (BDS)_20240930_CM검토.docx,.docx,52249,825a95f1ee810d47999e0210fc099912d43efe965a339e17e948bf40021a746f,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 5 - Reference Documents/Section 5 - Construction Supervision Forms.docx,.docx,21655,6faffa7eea1b98283c98661c3d3929bc4a00e93b2a2dcb33ff3180dcdef6c55b,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 9 - Pledges/Integrity Pledge (청렴계약서).docx,.docx,36507,bbf88b1bc23c5ed931639e65f36d47df7d7fbdb8447562024b0cf9f04ec6d6b6,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 9 - Pledges/Fair Contract Pledge Letter (공정계약 서약서).docx,.docx,18756,379cc784a159e5c15ba0045a32dd793d03827ad46a1e4a966b9810ad99102277,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 9 - Pledges/Declaration of Anti_Corruption (반부패 선언서).docx,.docx,23026,81e22a438491f4d1b5a12be15e95b5278073d1be929b00b0cd4fe23da8b9d496,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 1 - Instructions to Bidders (ITB)_수정/Section 1 - Instructions to Bidders (ITB)_수정.hwp,.hwp,168448,66c44d5b34cd4bade85de8cda544a7f534cfac5022bcf25bb3755d6680315e9a,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2024-00072-1,용역,우간다 마케레레 대학 원격교육센터 설계 및 감리용역 입찰,0,L2024-00072-1/2. 입찰문서 각 1부 우간다 마케레레/Section 1 - Instructions to Bidders (ITB)_수정/Section 1 - 국제입찰유의서 (ITB).hwp,.hwp,92672,30c8d093217b1908eadd23ff85989ab13790b4f29f255670b5c4478dcb302c5a,0,0,0,,0,0,0,0,,,,0.0,[]
2022-00064,L2025-00084-1,공사,우간다 마케레레 대학 원격교육 조성사업 신축 공사,1,L2025-00084-1/Section 2 - Bid Data Sheet (EN)_vr8.docx,.docx,71214,917a10f5c6e73781f0075c4e173e1772e794f8869f9f64ccf8739ddc1950b2f6,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00085,L2023-00065-1,용역,(긴급) 우즈베키스탄 유아 교육 복합센터 신축공사 시공감리 용역업체 선정,0,L2023-00065-1/(attached) Pre_school_Education_Complex_Constsruction_Supervision_Contractor.zip,.zip,369842,e5822262e8dc8b5ab61b96a204798d1ef41f0e6b9a8d791dab1bbe789c31f6ce,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00085,L2023-00065-1,용역,(긴급) 우즈베키스탄 유아 교육 복합센터 신축공사 시공감리 용역업체 선정,0,L2023-00065-1/BID_Announcement_Daily_News_of_Korean_Residents.docx,.docx,33976,742227f4862f395197c697a248e80ca570552d96a0e2ee6fe48cead5df638532,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00085,L2023-00065-1,용역,(긴급) 우즈베키스탄 유아 교육 복합센터 신축공사 시공감리 용역업체 선정,0,L2023-00065-1/Letter of Interest.docx,.docx,18338,352a3c1c2490b68e22cd9b409b6bf31e1858731ebc1912e7b65d868c812d4d54,0,0,0,,0,0,0,0,,,,0.0,[]
2021-00085,L2023-00065-1,용역,(긴급) 우즈베키스탄 유아 교육 복합센터 신축공사 시공감리 용역업체 선정,0,L2023-00065-1/BID Announcement (English).docx,.docx,102142,b276290312ff05178a9468ab34d55f36df00d9833bc14daf2f1ff2573967ef03,0,0,0,,0,0,0,0,,,,0.0,[]
